model_folder,ingredient_id,normalized_name,display_name,category_suggestion,train_count,val_count,test_count,needs_train_images,team_upload_path
ing_00546,546,오리고기,오리고기,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00546/
ing_00556,556,게맛살,게맛살,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00556/
ing_00557,557,냉장고속야채,냉장고속야채,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00557/
ing_00558,558,편으로 썬 가지,편으로 썬 가지,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00558/
ing_00559,559,머스터드소스,머스터드소스,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00559/
ing_00567,567,캐찹,캐찹,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00567/
ing_00641,641,브로콜리 작은거,브로콜리 작은거,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00641/
ing_00663,663,김장김치,김장김치,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00663/
ing_00664,664,아삭이고추,아삭이고추,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00664/
ing_00669,669,해바라기유,해바라기유,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00669/
ing_00712,712,리챔,리챔,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00712/
ing_00713,713,묵은지,묵은지,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00713/
ing_00853,853,다진 당근,다진 당근,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00853/
ing_00864,864,어른치즈,어른치즈,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00864/
ing_00865,865,방울토마토,방울토마토,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00865/
ing_00866,866,꼬챙이,꼬챙이,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00866/
ing_00895,895,고구마 중간 사이즈,고구마 중간 사이즈,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00895/
ing_00896,896,체더치즈,체더치즈,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00896/
ing_00947,947,햇마늘,햇마늘,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00947/
ing_00948,948,뉴슈가,뉴슈가,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00948/
ing_00949,949,냉동청양고추,냉동청양고추,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00949/
ing_00950,950,냉동홍고추,냉동홍고추,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00950/
